id,content,label
neg_1.jpg,A woman is comforting one woman,3
neg_10.jpg,A woman sits on a sofa and watches a baby sleeping beside her,1
neg_1000.jpg,Several children are sitting on the ground and reaching for the food in the enclosed vessel,3
neg_1001.jpg,Many children and several adults are lined up for a commemorative photo,2
neg_1002.jpg,Multiple people gather in the square,2
neg_1003.jpg,A man with gray hair encourages a man with a difficult face by placing his hand on his temple,3
neg_1004.jpg,Several people watch and support a woman who breaks up,3
neg_1005.jpg,A man is carrying both hands and feet with one man each,0
neg_1006.jpg,"Many people, including children, gathered and raised fists and protests",2
neg_1007.jpg,A man snuggling on a bench and a man next door comforting him with his hands on his shoulders,3
neg_1008.jpg,"Several women are sitting on the bed, crying or dripping",3
neg_1009.jpg,Many people are gathering for a demonstration,2
neg_1010.jpg,The woman is crossing her arms and listening to her father with a bad mood.,1
neg_1011.jpg,Four men and women grimacing in fear in the dark,2
neg_1012.jpg,"Next to the boy\'s student asleep, the girl student is wearing a cheek cane",0
neg_1013.jpg,Many people are demonstrating with large placards and flags,2
neg_1014.jpg,Many people are gathering and protesting by raising a placard based on yellow,2
neg_1015.jpg,Many people gathered with sad faces,1
neg_1016.jpg,Two women screaming with surprised faces,2
neg_1017.jpg,A large number of people are engaged in protests.,1
neg_1018.jpg,Many people are marching on snowy roads with placards and banners,2
neg_1019.jpg,Several people march in front of Walmart,2
neg_1020.jpg,"Many people, mainly women, are protesting in the snow with placards and banners",2
neg_1021.jpg,Several police officers with helmets and shields stand side by side,2
neg_1022.jpg,"A crowd of people at the demonstration, a black man with glasses is pointing his finger at a white man",1
neg_1023.jpg,"While many people are demonstrating in the demonstration, men with angry faces are being held by police officers",1
neg_1024.jpg,A man is hugging a man with a sad face and kissing his head,3
neg_1025.jpg,Many people are raising a placard on the other side of the fence and raising a voice of protest,2
neg_1026.jpg,A lot of people gather in the building and protest with their fists raised,2
neg_1027.jpg,A woman is treating her right arm and distorting her face,1
neg_1028.jpg,A large number of people gather and perform demonstrations by raising fists and cameras,2
neg_1029.jpg,Several people armed with guns are gathering and intimidating.,2
neg_1030.jpg,Many people gather and fill up the plaza,2
neg_1031.jpg,Several police officers are threatening with sticks on several demonstrators,0
neg_1032.jpg,Several people are lined up in front of the banner and are protesting,2
neg_1033.jpg,"Many people are protesting by raising their fists, mainly women in red-based costumes.",2
neg_1034.jpg,A man with a frightened cigarette holds a placard in front of his chest on a snowy sidewalk,0
neg_1035.jpg,Multiple children are sitting on large gravel,1
neg_1036.jpg,Children of all sizes are reaching out for bread,1
neg_1037.jpg,A woman sitting on the bench comforts a woman who sits next to her,2
neg_1038.jpg,Many people are crowded and intimidated,0
neg_1039.jpg,"Of a few students taking lectures, one black woman is asleep on a pillow with books piled up",0
neg_1040.jpg,"Several men and women sit on the street holding hands with the neighbors, forming an outward ring.",2
neg_1041.jpg,"People, especially women, gather and protest by holding placards",2
neg_1042.jpg,Several people have placards and are standing or sitting in a folding chair,2
neg_1043.jpg,"In a city, a woman frowns and holds a placard with one hand",0
neg_1044.jpg,Several people wearing red hats gather and raise their hands,2
neg_1045.jpg,Several spectators stare at the screen with surprised faces,1
neg_1046.jpg,The men and women standing next to each other are silently looking at each other.,1
